,word_activity,word_acute,word_addition,word_analysis,word_associated,word_available,word_background,word_based,word_cases,word_cause,word_cell,word_cells,word_clinical,word_common,word_compared,word_conclusions,word_control,word_coronavirus,word_data,word_detected,word_developed,word_development,word_different,word_disease,word_diseases,word_effective,word_expression,word_factors,word_findings,word_gene,word_genome,word_health,word_high,word_higher,word_highly,word_host,word_human,word_identified,word_identify,word_immune,word_important,word_including,word_increased,word_induced,word_infected,word_infection,word_infections,word_infectious,word_influenza,word_known,word_levels,word_like,word_major,word_methods,word_model,word_molecular,word_new,word_non,word_novel,word_number,word_observed,word_pathogens,word_patients,word_pcr,word_positive,word_potential,word_present,word_protein,word_proteins,word_provide,word_related,word_replication,word_reported,word_respectively,word_respiratory,word_response,word_results,word_review,word_risk,word_rna,word_role,word_samples,word_severe,word_showed,word_significant,word_significantly,word_species,word_specific,word_studies,word_study,word_syndrome,word_time,word_transmission,word_treatment,word_type,word_use,word_viral,word_virus,word_viruses,word_years,id,sha
0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,10.1038/s41598-018-20458-2,25621281691205eb015383cbac839182b838514f
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10.1371/journal.pone.0103456,7db22f7f81977109d493a0edf8ed75562648e839
2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,10.1186/s12918-016-0336-6,a137eb51461b4a4ed3980aa5b9cb2f2c1cf0292a
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1155/2019/8567364,6c3e1a43f0e199876d4bd9ff787e1911fd5cfaa6
4,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,10.1111/irv.12457,2ce201c2ba233a562ee605a9aa12d2719cfa2beb
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,10.1371/journal.pone.0178408,b460e5b511b4e2c3233f9476cd4e0616d6f405ac
6,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1186/s12864-017-4310-5,602fbb4e85804b8ca5c0842b46afd343981181e4
7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,10.3390/jcm8101664,30793ddad13205696658bbb0a2083c1cd400aab7
8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10.1371/journal.pone.0062845,76d39ac4634db5a0fcc8cddbefd965c463c0ace0
9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,10.3389/fvets.2017.00046,e8f4d22d624e8deec9597ce88e53b1751386cd1d
